"Work item ID","Work type","Summary","Description","Parent","Priority","Labels","Labels","Labels"
"1","Epic","Product and Architecture Foundation","Establish vision, scope, NFRs, architecture, governance, and delivery controls.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Product and Architecture Foundation
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-0"
"14","Epic","Connector SDK and Discovery Framework","Build the reusable collection framework required for every infrastructure source.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Connector SDK and Discovery Framework
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-1"
"27","Epic","VMware vSphere Integration","Collect and understand vCenter and ESXi inventory, telemetry, configuration, events, and dependencies.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: VMware vSphere Integration
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-1"
"40","Epic","Xen Integration","Collect and understand Xen inventory, telemetry, configuration, events, and dependencies.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Xen Integration
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-1"
"53","Epic","Kubernetes and Cloud-Native Integration","Provide Kubernetes-aware inventory, telemetry, configuration, change, and dependency context.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Kubernetes and Cloud-Native Integration
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-1"
"66","Epic","Telemetry and Data Platform","Create the event, storage, retention, quality, and provenance foundation.

PROJECT METADATA
Phase: Phase 1
Priority: High
Component: Telemetry and Data Platform
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-1"
"79","Epic","Canonical Data Model","Define stable source-independent entities, events, configuration, incidents, evidence, and recommendations.

PROJECT METADATA
Phase: Phase 0
Priority: High
Component: Canonical Data Model
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-0"
"92","Epic","Knowledge and Dependency Graph","Build a time-aware graph of assets, dependencies, ownership, changes, incidents, and decisions.

PROJECT METADATA
Phase: Phase 2
Priority: High
Component: Knowledge and Dependency Graph
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-2"
"105","Epic","Evidence Engine and Incident Workspace","Automate bounded evidence acquisition and preserve reproducible incident context.

PROJECT METADATA
Phase: Phase 3
Priority: High
Component: Evidence Engine and Incident Workspace
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-3"
"118","Epic","AI Reasoner and Retrieval","Provide evidence-backed root-cause analysis, retrieval, tool use, uncertainty, and challenge review.

PROJECT METADATA
Phase: Phase 3
Priority: High
Component: AI Reasoner and Retrieval
Suggested owner role: Product Owner / Architect

ACCEPTANCE CRITERIA
Epic outcomes are demonstrated, documented, tested, and accepted.

DEFINITION OF DONE
All child work accepted; architecture and runbooks updated; metrics available; no unresolved critical risk.","","High","boip","epic","phase-3"
